,코드,행정구역,산업분류,총사업체수,총종사자수,자영업자 종사자수,무급가족 종사자수,상용 종사자수,임시및일용 종사자수,기타 종사자수
2895,11010E,종로구,"수도, 하수 및 폐기물 처리, 원료 재생업(36 ~ 39)",7.0,126.0,1.0,0.0,124.0,1.0,0.0
4899,11020E,중구,"수도, 하수 및 폐기물 처리, 원료 재생업(36 ~ 39)",10.0,369.0,1.0,0.0,332.0,36.0,0.0
6903,11030E,용산구,"수도, 하수 및 폐기물 처리, 원료 재생업(36 ~ 39)",10.0,150.0,2.0,0.0,127.0,19.0,2.0
8907,11040E,성동구,"수도, 하수 및 폐기물 처리, 원료 재생업(36 ~ 39)",31.0,782.0,2.0,1.0,706.0,73.0,0.0
10911,11050E,광진구,"수도, 하수 및 폐기물 처리, 원료 재생업(36 ~ 39)",16.0,244.0,0.0,0.0,244.0,0.0,0.0
12915,11060E,동대문구,"수도, 하수 및 폐기물 처리, 원료 재생업(36 ~ 39)",19.0,148.0,4.0,0.0,141.0,2.0,1.0
14919,11070E,중랑구,"수도, 하수 및 폐기물 처리, 원료 재생업(36 ~ 39)",23.0,228.0,7.0,0.0,219.0,2.0,0.0
16923,11080E,성북구,"수도, 하수 및 폐기물 처리, 원료 재생업(36 ~ 39)",11.0,178.0,3.0,1.0,174.0,0.0,0.0
18927,11090E,강북구,"수도, 하수 및 폐기물 처리, 원료 재생업(36 ~ 39)",8.0,340.0,1.0,0.0,307.0,32.0,0.0
20931,11100E,도봉구,"수도, 하수 및 폐기물 처리, 원료 재생업(36 ~ 39)",9.0,110.0,1.0,0.0,106.0,3.0,0.0
22935,11110E,노원구,"수도, 하수 및 폐기물 처리, 원료 재생업(36 ~ 39)",11.0,214.0,2.0,1.0,190.0,21.0,0.0
24939,11120E,은평구,"수도, 하수 및 폐기물 처리, 원료 재생업(36 ~ 39)",15.0,255.0,4.0,1.0,248.0,2.0,0.0
26943,11130E,서대문구,"수도, 하수 및 폐기물 처리, 원료 재생업(36 ~ 39)",13.0,576.0,5.0,1.0,556.0,13.0,1.0
28947,11140E,마포구,"수도, 하수 및 폐기물 처리, 원료 재생업(36 ~ 39)",28.0,355.0,5.0,2.0,303.0,45.0,0.0
30951,11150E,양천구,"수도, 하수 및 폐기물 처리, 원료 재생업(36 ~ 39)",20.0,473.0,2.0,0.0,440.0,31.0,0.0
32955,11160E,강서구,"수도, 하수 및 폐기물 처리, 원료 재생업(36 ~ 39)",45.0,673.0,6.0,0.0,634.0,25.0,8.0
34959,11170E,구로구,"수도, 하수 및 폐기물 처리, 원료 재생업(36 ~ 39)",22.0,389.0,3.0,0.0,384.0,0.0,2.0
36963,11180E,금천구,"수도, 하수 및 폐기물 처리, 원료 재생업(36 ~ 39)",27.0,266.0,5.0,0.0,257.0,4.0,0.0
38967,11190E,영등포구,"수도, 하수 및 폐기물 처리, 원료 재생업(36 ~ 39)",21.0,438.0,5.0,0.0,431.0,2.0,0.0
40971,11200E,동작구,"수도, 하수 및 폐기물 처리, 원료 재생업(36 ~ 39)",13.0,423.0,1.0,0.0,404.0,18.0,0.0
42975,11210E,관악구,"수도, 하수 및 폐기물 처리, 원료 재생업(36 ~ 39)",11.0,183.0,1.0,0.0,182.0,0.0,0.0
44979,11220E,서초구,"수도, 하수 및 폐기물 처리, 원료 재생업(36 ~ 39)",17.0,281.0,1.0,0.0,277.0,3.0,0.0
46983,11230E,강남구,"수도, 하수 및 폐기물 처리, 원료 재생업(36 ~ 39)",21.0,823.0,2.0,0.0,800.0,21.0,0.0
48987,11240E,송파구,"수도, 하수 및 폐기물 처리, 원료 재생업(36 ~ 39)",27.0,593.0,0.0,0.0,588.0,5.0,0.0
50991,11250E,강동구,"수도, 하수 및 폐기물 처리, 원료 재생업(36 ~ 39)",16.0,522.0,3.0,0.0,458.0,61.0,0.0
891,11E,서울특별시,"수도, 하수 및 폐기물 처리, 원료 재생업(36 ~ 39)",451.0,9139.0,67.0,7.0,8632.0,419.0,14.0
2895,21010E,중구,"수도, 하수 및 폐기물 처리, 원료 재생업(36 ~ 39)",9.0,185.0,3.0,2.0,175.0,5.0,0.0
4899,21020E,서구,"수도, 하수 및 폐기물 처리, 원료 재생업(36 ~ 39)",12.0,204.0,4.0,0.0,200.0,0.0,0.0
6903,21030E,동구,"수도, 하수 및 폐기물 처리, 원료 재생업(36 ~ 39)",10.0,135.0,4.0,1.0,130.0,0.0,0.0
8907,21040E,영도구,"수도, 하수 및 폐기물 처리, 원료 재생업(36 ~ 39)",20.0,264.0,8.0,0.0,236.0,20.0,0.0
10911,21050E,부산진구,"수도, 하수 및 폐기물 처리, 원료 재생업(36 ~ 39)",16.0,497.0,4.0,0.0,469.0,24.0,0.0
12915,21060E,동래구,"수도, 하수 및 폐기물 처리, 원료 재생업(36 ~ 39)",12.0,551.0,2.0,0.0,511.0,38.0,0.0
14919,21070E,남구,"수도, 하수 및 폐기물 처리, 원료 재생업(36 ~ 39)",17.0,287.0,6.0,0.0,248.0,30.0,3.0
16923,21080E,북구,"수도, 하수 및 폐기물 처리, 원료 재생업(36 ~ 39)",17.0,414.0,3.0,0.0,398.0,13.0,0.0
18927,21090E,해운대구,"수도, 하수 및 폐기물 처리, 원료 재생업(36 ~ 39)",26.0,367.0,9.0,0.0,342.0,16.0,0.0
20931,21100E,사하구,"수도, 하수 및 폐기물 처리, 원료 재생업(36 ~ 39)",54.0,903.0,16.0,2.0,823.0,62.0,0.0
22935,21110E,금정구,"수도, 하수 및 폐기물 처리, 원료 재생업(36 ~ 39)",23.0,342.0,10.0,0.0,301.0,6.0,25.0
24939,21120E,강서구,"수도, 하수 및 폐기물 처리, 원료 재생업(36 ~ 39)",83.0,748.0,34.0,5.0,674.0,35.0,0.0
26943,21130E,연제구,"수도, 하수 및 폐기물 처리, 원료 재생업(36 ~ 39)",10.0,88.0,4.0,0.0,81.0,3.0,0.0
28947,21140E,수영구,"수도, 하수 및 폐기물 처리, 원료 재생업(36 ~ 39)",16.0,332.0,6.0,2.0,230.0,94.0,0.0
30951,21150E,사상구,"수도, 하수 및 폐기물 처리, 원료 재생업(36 ~ 39)",77.0,756.0,31.0,3.0,688.0,34.0,0.0
32955,21310E,기장군,"수도, 하수 및 폐기물 처리, 원료 재생업(36 ~ 39)",45.0,445.0,15.0,5.0,393.0,32.0,0.0
891,21E,부산광역시,"수도, 하수 및 폐기물 처리, 원료 재생업(36 ~ 39)",447.0,6518.0,159.0,20.0,5899.0,412.0,28.0
2895,22010E,중구,"수도, 하수 및 폐기물 처리, 원료 재생업(36 ~ 39)",12.0,257.0,4.0,2.0,243.0,8.0,0.0
4899,22020E,동구,"수도, 하수 및 폐기물 처리, 원료 재생업(36 ~ 39)",38.0,368.0,15.0,1.0,348.0,4.0,0.0
6903,22030E,서구,"수도, 하수 및 폐기물 처리, 원료 재생업(36 ~ 39)",45.0,459.0,16.0,1.0,441.0,1.0,0.0
8907,22040E,남구,"수도, 하수 및 폐기물 처리, 원료 재생업(36 ~ 39)",20.0,198.0,8.0,2.0,178.0,10.0,0.0
10911,22050E,북구,"수도, 하수 및 폐기물 처리, 원료 재생업(36 ~ 39)",39.0,498.0,10.0,1.0,471.0,16.0,0.0
12915,22060E,수성구,"수도, 하수 및 폐기물 처리, 원료 재생업(36 ~ 39)",19.0,260.0,8.0,1.0,243.0,8.0,0.0
14919,22070E,달서구,"수도, 하수 및 폐기물 처리, 원료 재생업(36 ~ 39)",80.0,910.0,25.0,4.0,863.0,16.0,2.0
16923,22310E,달성군,"수도, 하수 및 폐기물 처리, 원료 재생업(36 ~ 39)",88.0,813.0,34.0,4.0,727.0,48.0,0.0
891,22E,대구광역시,"수도, 하수 및 폐기물 처리, 원료 재생업(36 ~ 39)",341.0,3763.0,120.0,16.0,3514.0,111.0,2.0
2895,23010E,중구,"수도, 하수 및 폐기물 처리, 원료 재생업(36 ~ 39)",39.0,514.0,11.0,2.0,494.0,7.0,0.0
4899,23020E,동구,"수도, 하수 및 폐기물 처리, 원료 재생업(36 ~ 39)",25.0,176.0,3.0,0.0,166.0,7.0,0.0
6903,23040E,연수구,"수도, 하수 및 폐기물 처리, 원료 재생업(36 ~ 39)",34.0,578.0,6.0,0.0,552.0,20.0,0.0
8907,23050E,남동구,"수도, 하수 및 폐기물 처리, 원료 재생업(36 ~ 39)",136.0,1454.0,41.0,2.0,1392.0,13.0,6.0
10911,23060E,부평구,"수도, 하수 및 폐기물 처리, 원료 재생업(36 ~ 39)",36.0,394.0,9.0,0.0,356.0,29.0,0.0
12915,23070E,계양구,"수도, 하수 및 폐기물 처리, 원료 재생업(36 ~ 39)",32.0,364.0,14.0,2.0,281.0,26.0,41.0
14919,23080E,서구,"수도, 하수 및 폐기물 처리, 원료 재생업(36 ~ 39)",149.0,2383.0,50.0,6.0,2239.0,63.0,25.0
16923,23090E,미추홀구,"수도, 하수 및 폐기물 처리, 원료 재생업(36 ~ 39)",33.0,533.0,7.0,1.0,466.0,56.0,3.0
18927,23310E,강화군,"수도, 하수 및 폐기물 처리, 원료 재생업(36 ~ 39)",9.0,87.0,0.0,0.0,74.0,13.0,0.0
20931,23320E,옹진군,"수도, 하수 및 폐기물 처리, 원료 재생업(36 ~ 39)",2.0,0.0,0.0,0.0,0.0,0.0,0.0
891,23E,인천광역시,"수도, 하수 및 폐기물 처리, 원료 재생업(36 ~ 39)",495.0,6488.0,141.0,13.0,6025.0,234.0,75.0
2895,24010E,동구,"수도, 하수 및 폐기물 처리, 원료 재생업(36 ~ 39)",5.0,110.0,0.0,0.0,100.0,10.0,0.0
4899,24020E,서구,"수도, 하수 및 폐기물 처리, 원료 재생업(36 ~ 39)",25.0,658.0,6.0,2.0,572.0,78.0,0.0
6903,24030E,남구,"수도, 하수 및 폐기물 처리, 원료 재생업(36 ~ 39)",27.0,363.0,8.0,2.0,345.0,8.0,0.0
8907,24040E,북구,"수도, 하수 및 폐기물 처리, 원료 재생업(36 ~ 39)",21.0,316.0,7.0,1.0,305.0,3.0,0.0
10911,24050E,광산구,"수도, 하수 및 폐기물 처리, 원료 재생업(36 ~ 39)",83.0,609.0,27.0,5.0,554.0,23.0,0.0
891,24E,광주광역시,"수도, 하수 및 폐기물 처리, 원료 재생업(36 ~ 39)",161.0,2056.0,48.0,10.0,1876.0,122.0,0.0
2895,25010E,동구,"수도, 하수 및 폐기물 처리, 원료 재생업(36 ~ 39)",14.0,192.0,4.0,0.0,185.0,3.0,0.0
4899,25020E,중구,"수도, 하수 및 폐기물 처리, 원료 재생업(36 ~ 39)",22.0,598.0,6.0,1.0,567.0,14.0,10.0
