,제목,청원시작일,청원종료일,참여인원,청원답변일,URL
0,저희 아파트 경비아저씨의 억울함을 풀어주세요...,2020. 05. 11,2020. 06. 10,"446,434",2020. 07. 08,https://www1.president.go.kr/petitions/588752
1,"울산 초등학교 1학년 아이에게 팬티빨기 숙제내고 학생 사진에 '섹시팬티', '공주님 수줍게 클리어', '매력적이고 섹시한 00'이라고 성희롱한 남교사를 파면해 주세요.",2020. 04. 28,2020. 05. 28,"225,764",2020. 06. 26,https://www1.president.go.kr/petitions/588455
2,등교 개학 시기를 미루어주시기 바랍니다.,2020. 04. 24,2020. 05. 24,"255,333",2020. 06. 24,https://www1.president.go.kr/petitions/588340
3,방송통신위원회는 방송의 공적 책임 방기하고  언론이기를 포기한 채널A와 TV조선의 재승인을 취소하라,2020. 04. 07,2020. 05. 07,"273,513",2020. 06. 05,https://www1.president.go.kr/petitions/587827
4,렌트카 훔쳐 사망사고를 낸 10대 엄중 처벌해주세요,2020. 04. 02,2020. 05. 02,"1,007,040",2020. 06. 02,https://www1.president.go.kr/petitions/587624
5,세월호 전면재수사,2020. 04. 01,2020. 05. 01,"216,118",2020. 06. 01,https://www1.president.go.kr/petitions/587604
6,자가격리를 어기고 제주도 4박5일 여행.미국유학생 강남구 **번 확진자 처벌해주세요,2020. 03. 27,2020. 04. 26,"207,563",2020. 05. 25,https://www1.president.go.kr/petitions/587334
7,유/아동 성착취 동영상 유통시킨 다크웹 손모씨의 미국 법무부 강제송환을 실행해주십시오.,2020. 03. 23,2020. 04. 22,"219,721",2020. 05. 22,https://www1.president.go.kr/petitions/586926
8,"N번방 담당판사 오덕식을 판사자리에 반대,자격박탈을 청원합니다.",2020. 03. 27,2020. 04. 26,"466,900",2020. 05. 22,https://www1.president.go.kr/petitions/587323
9,민식이 법 개정을 청원합니다.,2020. 03. 23,2020. 04. 22,"354,857",2020. 05. 20,https://www1.president.go.kr/petitions/586941
10,저희 25개월딸이 초등학생 5학년에게 성폭행을 당했습니다,2020. 03. 20,2020. 04. 19,"533,883",2020. 05. 19,https://www1.president.go.kr/petitions/586860
11,"성전환 수술, 즉 외부성기 수술 없이도 남녀 성별을 변경하는 성별정정을 막아 주십시오.",2020. 03. 13,2020. 04. 12,"223,769",2020. 05. 08,https://www1.president.go.kr/petitions/586650
12,저는 아버지에게 15년동안 성폭행을 당했습니다. 도와주세요.,2020. 03. 02,2020. 04. 01,"248,515",2020. 05. 01,https://www1.president.go.kr/petitions/585926
13,한전 사업에 중국 기업의 참여를 허락하는 것은 말도 안됩니다.,2020. 02. 26,2020. 03. 27,"383,039",2020. 04. 27,https://www1.president.go.kr/petitions/585665
14,문재인 대통령 탄핵을 촉구합니다.,2020. 02. 04,2020. 03. 05,"1,469,023",2020. 04. 24,https://www1.president.go.kr/petitions/584936
15,"신천지 예수교 증거장막성전(이하, 신천지)의 강제 해체(해산)을 청원합니다.",2020. 02. 22,2020. 03. 23,"1,449,521",2020. 04. 21,https://www1.president.go.kr/petitions/585290
16,텔레그램 n번방 용의자 신상공개 및 포토라인 세워주세요,2020. 03. 18,2020. 04. 17,"2,715,626",2020. 03. 24,https://www1.president.go.kr/petitions/586819
17,중국인 입국 금지 요청,2020. 01. 23,2020. 02. 22,"761,833",2020. 03. 20,https://www1.president.go.kr/petitions/584593
18,추미애 법무장관의 해임을 청원합니다,2020. 02. 03,2020. 03. 04,"335,181",2020. 03. 11,https://www1.president.go.kr/petitions/584755
19,성 착취 사건인 'n번방 사건'의 근본적인 해결을 위한 국제 공조 수사를 청원합니다.,2020. 01. 02,2020. 02. 01,"219,705",2020. 03. 02,https://www1.president.go.kr/petitions/584284
20,한국기독교총연합회 사단법인 해산과  전** 대표회장 구속을 촉구 합니다,2019. 12. 26,2020. 01. 25,"264,100",2020. 02. 25,https://www1.president.go.kr/petitions/584204
21,아동간 성폭력사고 시 강제력을 가진 제도를 마련해주시기 바랍니다.,2019. 12. 02,2020. 01. 01,"241,135",2020. 02. 21,https://www1.president.go.kr/petitions/583841
